sample_id,path,label,source,split
train_00000_y0,training/data/mfad_net/processed/train/train_00000_y0,0,synthetic,train
train_00001_y1,training/data/mfad_net/processed/train/train_00001_y1,1,synthetic,train
train_00002_y0,training/data/mfad_net/processed/train/train_00002_y0,0,synthetic,train
train_00003_y1,training/data/mfad_net/processed/train/train_00003_y1,1,synthetic,train
train_00004_y0,training/data/mfad_net/processed/train/train_00004_y0,0,synthetic,train
train_00005_y1,training/data/mfad_net/processed/train/train_00005_y1,1,synthetic,train
train_00006_y0,training/data/mfad_net/processed/train/train_00006_y0,0,synthetic,train
train_00007_y1,training/data/mfad_net/processed/train/train_00007_y1,1,synthetic,train
train_00008_y0,training/data/mfad_net/processed/train/train_00008_y0,0,synthetic,train
train_00009_y1,training/data/mfad_net/processed/train/train_00009_y1,1,synthetic,train
train_00010_y0,training/data/mfad_net/processed/train/train_00010_y0,0,synthetic,train
train_00011_y1,training/data/mfad_net/processed/train/train_00011_y1,1,synthetic,train
train_00012_y0,training/data/mfad_net/processed/train/train_00012_y0,0,synthetic,train
train_00013_y1,training/data/mfad_net/processed/train/train_00013_y1,1,synthetic,train
train_00014_y0,training/data/mfad_net/processed/train/train_00014_y0,0,synthetic,train
train_00015_y1,training/data/mfad_net/processed/train/train_00015_y1,1,synthetic,train
train_00016_y0,training/data/mfad_net/processed/train/train_00016_y0,0,synthetic,train
train_00017_y1,training/data/mfad_net/processed/train/train_00017_y1,1,synthetic,train
train_00018_y0,training/data/mfad_net/processed/train/train_00018_y0,0,synthetic,train
train_00019_y1,training/data/mfad_net/processed/train/train_00019_y1,1,synthetic,train
train_00020_y0,training/data/mfad_net/processed/train/train_00020_y0,0,synthetic,train
train_00021_y1,training/data/mfad_net/processed/train/train_00021_y1,1,synthetic,train
train_00022_y0,training/data/mfad_net/processed/train/train_00022_y0,0,synthetic,train
train_00023_y1,training/data/mfad_net/processed/train/train_00023_y1,1,synthetic,train
train_00024_y0,training/data/mfad_net/processed/train/train_00024_y0,0,synthetic,train
train_00025_y1,training/data/mfad_net/processed/train/train_00025_y1,1,synthetic,train
train_00026_y0,training/data/mfad_net/processed/train/train_00026_y0,0,synthetic,train
train_00027_y1,training/data/mfad_net/processed/train/train_00027_y1,1,synthetic,train
train_00028_y0,training/data/mfad_net/processed/train/train_00028_y0,0,synthetic,train
train_00029_y1,training/data/mfad_net/processed/train/train_00029_y1,1,synthetic,train
train_00030_y0,training/data/mfad_net/processed/train/train_00030_y0,0,synthetic,train
train_00031_y1,training/data/mfad_net/processed/train/train_00031_y1,1,synthetic,train
train_00032_y0,training/data/mfad_net/processed/train/train_00032_y0,0,synthetic,train
train_00033_y1,training/data/mfad_net/processed/train/train_00033_y1,1,synthetic,train
train_00034_y0,training/data/mfad_net/processed/train/train_00034_y0,0,synthetic,train
train_00035_y1,training/data/mfad_net/processed/train/train_00035_y1,1,synthetic,train
train_00036_y0,training/data/mfad_net/processed/train/train_00036_y0,0,synthetic,train
train_00037_y1,training/data/mfad_net/processed/train/train_00037_y1,1,synthetic,train
train_00038_y0,training/data/mfad_net/processed/train/train_00038_y0,0,synthetic,train
train_00039_y1,training/data/mfad_net/processed/train/train_00039_y1,1,synthetic,train
train_00040_y0,training/data/mfad_net/processed/train/train_00040_y0,0,synthetic,train
train_00041_y1,training/data/mfad_net/processed/train/train_00041_y1,1,synthetic,train
train_00042_y0,training/data/mfad_net/processed/train/train_00042_y0,0,synthetic,train
train_00043_y1,training/data/mfad_net/processed/train/train_00043_y1,1,synthetic,train
train_00044_y0,training/data/mfad_net/processed/train/train_00044_y0,0,synthetic,train
train_00045_y1,training/data/mfad_net/processed/train/train_00045_y1,1,synthetic,train
train_00046_y0,training/data/mfad_net/processed/train/train_00046_y0,0,synthetic,train
train_00047_y1,training/data/mfad_net/processed/train/train_00047_y1,1,synthetic,train
train_00048_y0,training/data/mfad_net/processed/train/train_00048_y0,0,synthetic,train
train_00049_y1,training/data/mfad_net/processed/train/train_00049_y1,1,synthetic,train
train_00050_y0,training/data/mfad_net/processed/train/train_00050_y0,0,synthetic,train
train_00051_y1,training/data/mfad_net/processed/train/train_00051_y1,1,synthetic,train
train_00052_y0,training/data/mfad_net/processed/train/train_00052_y0,0,synthetic,train
train_00053_y1,training/data/mfad_net/processed/train/train_00053_y1,1,synthetic,train
train_00054_y0,training/data/mfad_net/processed/train/train_00054_y0,0,synthetic,train
train_00055_y1,training/data/mfad_net/processed/train/train_00055_y1,1,synthetic,train
train_00056_y0,training/data/mfad_net/processed/train/train_00056_y0,0,synthetic,train
train_00057_y1,training/data/mfad_net/processed/train/train_00057_y1,1,synthetic,train
train_00058_y0,training/data/mfad_net/processed/train/train_00058_y0,0,synthetic,train
train_00059_y1,training/data/mfad_net/processed/train/train_00059_y1,1,synthetic,train
train_00060_y0,training/data/mfad_net/processed/train/train_00060_y0,0,synthetic,train
train_00061_y1,training/data/mfad_net/processed/train/train_00061_y1,1,synthetic,train
train_00062_y0,training/data/mfad_net/processed/train/train_00062_y0,0,synthetic,train
train_00063_y1,training/data/mfad_net/processed/train/train_00063_y1,1,synthetic,train
train_00064_y0,training/data/mfad_net/processed/train/train_00064_y0,0,synthetic,train
train_00065_y1,training/data/mfad_net/processed/train/train_00065_y1,1,synthetic,train
train_00066_y0,training/data/mfad_net/processed/train/train_00066_y0,0,synthetic,train
train_00067_y1,training/data/mfad_net/processed/train/train_00067_y1,1,synthetic,train
train_00068_y0,training/data/mfad_net/processed/train/train_00068_y0,0,synthetic,train
train_00069_y1,training/data/mfad_net/processed/train/train_00069_y1,1,synthetic,train
train_00070_y0,training/data/mfad_net/processed/train/train_00070_y0,0,synthetic,train
train_00071_y1,training/data/mfad_net/processed/train/train_00071_y1,1,synthetic,train
train_00072_y0,training/data/mfad_net/processed/train/train_00072_y0,0,synthetic,train
train_00073_y1,training/data/mfad_net/processed/train/train_00073_y1,1,synthetic,train
train_00074_y0,training/data/mfad_net/processed/train/train_00074_y0,0,synthetic,train
train_00075_y1,training/data/mfad_net/processed/train/train_00075_y1,1,synthetic,train
train_00076_y0,training/data/mfad_net/processed/train/train_00076_y0,0,synthetic,train
train_00077_y1,training/data/mfad_net/processed/train/train_00077_y1,1,synthetic,train
train_00078_y0,training/data/mfad_net/processed/train/train_00078_y0,0,synthetic,train
train_00079_y1,training/data/mfad_net/processed/train/train_00079_y1,1,synthetic,train
train_00080_y0,training/data/mfad_net/processed/train/train_00080_y0,0,synthetic,train
train_00081_y1,training/data/mfad_net/processed/train/train_00081_y1,1,synthetic,train
train_00082_y0,training/data/mfad_net/processed/train/train_00082_y0,0,synthetic,train
train_00083_y1,training/data/mfad_net/processed/train/train_00083_y1,1,synthetic,train
train_00084_y0,training/data/mfad_net/processed/train/train_00084_y0,0,synthetic,train
train_00085_y1,training/data/mfad_net/processed/train/train_00085_y1,1,synthetic,train
train_00086_y0,training/data/mfad_net/processed/train/train_00086_y0,0,synthetic,train
train_00087_y1,training/data/mfad_net/processed/train/train_00087_y1,1,synthetic,train
train_00088_y0,training/data/mfad_net/processed/train/train_00088_y0,0,synthetic,train
train_00089_y1,training/data/mfad_net/processed/train/train_00089_y1,1,synthetic,train
train_00090_y0,training/data/mfad_net/processed/train/train_00090_y0,0,synthetic,train
train_00091_y1,training/data/mfad_net/processed/train/train_00091_y1,1,synthetic,train
train_00092_y0,training/data/mfad_net/processed/train/train_00092_y0,0,synthetic,train
train_00093_y1,training/data/mfad_net/processed/train/train_00093_y1,1,synthetic,train
train_00094_y0,training/data/mfad_net/processed/train/train_00094_y0,0,synthetic,train
train_00095_y1,training/data/mfad_net/processed/train/train_00095_y1,1,synthetic,train
train_00096_y0,training/data/mfad_net/processed/train/train_00096_y0,0,synthetic,train
train_00097_y1,training/data/mfad_net/processed/train/train_00097_y1,1,synthetic,train
train_00098_y0,training/data/mfad_net/processed/train/train_00098_y0,0,synthetic,train
train_00099_y1,training/data/mfad_net/processed/train/train_00099_y1,1,synthetic,train
train_00100_y0,training/data/mfad_net/processed/train/train_00100_y0,0,synthetic,train
train_00101_y1,training/data/mfad_net/processed/train/train_00101_y1,1,synthetic,train
train_00102_y0,training/data/mfad_net/processed/train/train_00102_y0,0,synthetic,train
train_00103_y1,training/data/mfad_net/processed/train/train_00103_y1,1,synthetic,train
train_00104_y0,training/data/mfad_net/processed/train/train_00104_y0,0,synthetic,train
train_00105_y1,training/data/mfad_net/processed/train/train_00105_y1,1,synthetic,train
train_00106_y0,training/data/mfad_net/processed/train/train_00106_y0,0,synthetic,train
train_00107_y1,training/data/mfad_net/processed/train/train_00107_y1,1,synthetic,train
train_00108_y0,training/data/mfad_net/processed/train/train_00108_y0,0,synthetic,train
train_00109_y1,training/data/mfad_net/processed/train/train_00109_y1,1,synthetic,train
train_00110_y0,training/data/mfad_net/processed/train/train_00110_y0,0,synthetic,train
train_00111_y1,training/data/mfad_net/processed/train/train_00111_y1,1,synthetic,train
train_00112_y0,training/data/mfad_net/processed/train/train_00112_y0,0,synthetic,train
train_00113_y1,training/data/mfad_net/processed/train/train_00113_y1,1,synthetic,train
train_00114_y0,training/data/mfad_net/processed/train/train_00114_y0,0,synthetic,train
train_00115_y1,training/data/mfad_net/processed/train/train_00115_y1,1,synthetic,train
train_00116_y0,training/data/mfad_net/processed/train/train_00116_y0,0,synthetic,train
train_00117_y1,training/data/mfad_net/processed/train/train_00117_y1,1,synthetic,train
train_00118_y0,training/data/mfad_net/processed/train/train_00118_y0,0,synthetic,train
train_00119_y1,training/data/mfad_net/processed/train/train_00119_y1,1,synthetic,train
train_00120_y0,training/data/mfad_net/processed/train/train_00120_y0,0,synthetic,train
train_00121_y1,training/data/mfad_net/processed/train/train_00121_y1,1,synthetic,train
train_00122_y0,training/data/mfad_net/processed/train/train_00122_y0,0,synthetic,train
train_00123_y1,training/data/mfad_net/processed/train/train_00123_y1,1,synthetic,train
train_00124_y0,training/data/mfad_net/processed/train/train_00124_y0,0,synthetic,train
train_00125_y1,training/data/mfad_net/processed/train/train_00125_y1,1,synthetic,train
train_00126_y0,training/data/mfad_net/processed/train/train_00126_y0,0,synthetic,train
